gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	taxonomicIssue	nonTaxonomicIssue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	superfamilyKey	familyKey	subfamilyKey	tribeKey	subtribeKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	isInvasive	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
1978369834			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-182	10-001-182		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	San Martín		Puerto Castro, Hato Palmeras									3.537326	-72.440003									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:39.184Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:39.184Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.27_2	San Martín			LC
1978369833			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-167	10-001-167		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	San Carlos de Guaroa		Gabanes, Hacienda Gabanes																			Cormacarena y Fundación Pantera Colombia				Las coordenadas originales tienen inconsistencias de georreferenciación, no coinciden con la geografía superior																							Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:38.788Z						COORDINATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				false	true	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:38.788Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA									LC
1978369832			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-180	10-001-180		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	San Martín		Puerto Castro, Hato Palmeras									3.537326	-72.440003									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:39.190Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:39.190Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.27_2	San Martín			LC
1978369831			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-172	10-001-172		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	San Martín		Brisas del Camoa, Hacienda Santa Teresa									3.69696	-73.153653									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Panthera onca (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Panthera			onca			SPECIES		Jaguar		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:39.291Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	5219426	5219426	1	44	359	732		9703				2435194		5219426	Panthera onca	Panthera onca (Linnaeus, 1758)	Panthera onca		EML	2026-03-19T00:11:39.291Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.27_2	San Martín			NT
1978369830			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-191	10-001-191		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	San Martín		San Francisco, Hacienda Matarredonda									3.531515	-73.402054									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:37.989Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:37.989Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.27_2	San Martín			LC
1978369829			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-166	10-001-166		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	Puerto López		Yurimena, Finca Omar Hernandez									4.076992	-72.820701									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:38.774Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:38.774Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.20_2	Puerto López			LC
1978369828			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-173	10-001-173		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	San Martín		El Consuelo, Hacienda Nazareth									3.624423	-73.149157									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:39.280Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:39.280Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.27_2	San Martín			LC
1978369827			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-152	10-001-152		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	Puerto López		Serranía, Hacienda Murujuy									3.934555	-72.337708									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:39.044Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:39.044Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.20_2	Puerto López			LC
1978369826			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-156	10-001-156		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	Puerto López		Serranía, Hacienda Santa Rita									3.810341	-72.608264									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:38.973Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:38.973Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.27_2	San Martín			LC
1978369825			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-105	10-001-105		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	Puerto López		La Leona, Hacienda Cachicamo									4.163745	-72.358803									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:38.389Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:38.389Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.20_2	Puerto López			LC
1978369824			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-209	10-001-209		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	Villavicencio		Buenavista, Hacienda Rosalinda									4.167199	-73.69354									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:38.155Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:38.155Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.28_2	Villavicencio			LC
1978369823			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-181	10-001-181		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	San Martín		Puerto Castro, Hato Palmeras									3.537326	-72.440003									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Panthera onca (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Panthera			onca			SPECIES		Jaguar		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:39.194Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	5219426	5219426	1	44	359	732		9703				2435194		5219426	Panthera onca	Panthera onca (Linnaeus, 1758)	Panthera onca		EML	2026-03-19T00:11:39.194Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.27_2	San Martín			NT
1978369822			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-159	10-001-159		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	Puerto López		Yucao, Hacienda Almagro									3.977191	-72.693092									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:38.738Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:38.738Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.20_2	Puerto López			LC
1978369821			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-176	10-001-176		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	San Martín		La Novilla, Hacienda Pampas									3.570986	-73.457907									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Panthera onca (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Panthera			onca			SPECIES		Jaguar		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:39.275Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	5219426	5219426	1	44	359	732		9703				2435194		5219426	Panthera onca	Panthera onca (Linnaeus, 1758)	Panthera onca		EML	2026-03-19T00:11:39.275Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.27_2	San Martín			NT
1978369820			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-179	10-001-179		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	San Martín		Puerto Castro, Hacienda El Diamante									3.561544	-72.672695									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:39.060Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:39.060Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.27_2	San Martín			LC
1978369819			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-184	10-001-184		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	San Martín		Puerto Castro, Hato Palmeras									3.537326	-72.440003									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Panthera onca (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Panthera	Panthera			onca			SPECIES		Jaguar		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:39.137Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	5219426	5219426	1	44	359	732		9703				2435194		5219426	Panthera onca	Panthera onca (Linnaeus, 1758)	Panthera onca		EML	2026-03-19T00:11:39.137Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.27_2	San Martín			NT
1978369818			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-198	10-001-198		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	San Martín		San Francisco, Hacienda Rey Zamuro									3.536348	-73.425311									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:37.900Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:37.900Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.27_2	San Martín			LC
1978369817			es	CC_BY_4_0					Evento	822000091-2			Cormacarena				HUMAN_OBSERVATION				urn:catalog:CORMACARENA:Felino:10-001-153	10-001-153		C.Payán;J. Patarroyo		1				Adult									PRESENT								Observación directa y rastros															2011-10-23/2011-11-16		296	320	2011			2011	Bosques densos, morichales, sabanas inundables y asociado a ríos	Observación ad hoc					Estrategia de conservación de grandes felinos en el departamento del Meta				SOUTH_AMERICA				CO	Meta	Puerto López		Serranía, Hacienda La Esmeralda									3.91304	-72.661679									Cormacarena y Fundación Pantera Colombia																											Carlos Estaban Payán Garrido		2011-01-01T00:00:00			Estrategia de conservación de grandes felinos en el departamento del Meta									Puma concolor (Linnaeus, 1771)								Animalia	Chordata	Mammalia	Carnivora		Felidae				Puma	Puma			concolor			SPECIES		Puma		ACCEPTED			0fca9cb2-caaa-499d-bf3d-8920c69a3a35	CO	2026-03-19T00:11:38.975Z						OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT				true	false	2435099	2435099	1	44	359	732		9703				2435098		2435099	Puma concolor	Puma concolor (Linnaeus, 1771)	Puma concolor		EML	2026-03-19T00:11:38.975Z	2026-03-19T00:11:28.386Z		false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.21_2	Meta	COL.21.20_2	Puerto López			LC
